emdNm,hsmpNm,rnAdres,laCrdnt,loCrdnt
한림읍,리사무소 앞,제주특별자치도 제주시 한림읍 한림리 1328-62,33.4160826,126.2623698
한림읍,영신연립 옆 한흥블럭사,제주특별자치도 제주시 한림읍 한림리 1531-4,33.4108638,126.2636690
한림읍,왕수학교실 삼거리 (회성푸르니 아파트 앞),제주특별자치도 제주시 한림읍 한림리 1450-2,33.4123373,126.2642205
한림읍,수타명가 남측,제주특별자치도 제주시 한림읍 귀덕리 3008,33.4414708,126.2903320
한림읍,대림하동길 마을 끝,제주특별자치도 제주시 한림읍 대림리 1268-2,33.4271485,126.2793061
한림읍,감협 맞은편, 제주특별자치도 제주시 한림읍 명랑로 16,33.4145053,126.2664781
한림읍,한림공고 후문 옆,제주특별자치도 제주시 한림읍 동명리 1540-11,33.4055401,126.2690034
한림읍,산아진동산, 제주특별자치도 제주시 한림읍 한림남1길 29,33.4122794,126.2679498
한림읍,금악리 농협창고 주변,제주특별자치도 제주시 한림읍 금악리 2234-1,33.3613776,126.2959282
한림읍,천주교 버스정류소 옆,제주특별자치도 제주시 한림읍 대림리 1814,33.4175521,126.2650087
한림읍,금능 오폐수 정화시설 뒤(마중),제주특별자치도 제주시 한림읍 금능9길 10-1,33.3892564,126.2303201
한림읍,신서동 집하장 앞,제주특별자치도 제주시 한림읍 귀덕6길 200,33.4282486,126.2889816
한림읍,구 부녀회관 뒤,제주특별자치도 제주시 한림읍 월림리 291-8,33.3486769,126.2564184
한림읍,리사무소 옆,제주특별자치도 제주시 한림읍 귀덕리 4070,33.4411299,126.2792463
한림읍,천호제일사료 주차장,제주특별자치도 제주시 한림읍 귀덕리 228-3,33.4213674,126.2980664
한림읍,리사무소앞 광장,제주특별자치도 제주시 한림읍 한수풀로 337,33.4192292,126.2963140
한림읍,한림빌라 맞은편 동쪽,제주특별자치도 제주시 한림읍 수원리 960-6,33.4281871,126.2638055
한림읍,체육관입구 아래쪽 도로(백부장집),제주특별자치도 제주시 한림읍 한림리 915-9,33.4089666,126.2662174
한림읍,노인회관 내부,제주특별자치도 제주시 한림읍 한림로 741,33.4211250,126.2636191
한림읍,조성동 삼거리,제주특별자치도 제주시 한림읍 상명리 211-12,33.3520078,126.2772846
한림읍,한수리 해안도로변,제주특별자치도 제주시 한림읍 한수리 920-14,33.4228910,126.2625625
한림읍,삼손가든 아래,제주특별자치도 제주시 한림읍 한림리 680-1,33.4108982,126.2708092
한림읍,리사무소앞 저온저장고,제주특별자치도 제주시 한림읍 한수풀로 177,33.4228359,126.2806618
한림읍,서동 일주도로변 소공원,제주특별자치도 제주시 한림읍 대림리 1468-1,33.4244857,126.2776095
한림읍,리사무소 내부,제주특별자치도 제주시 한림읍 중산간서로 4956,33.4076807,126.2937537
한림읍,한림원광어린이집 옆,제주특별자치도 제주시 한림읍 한림리 551-2,33.4150575,126.2701160
한림읍,문수동 선과장앞 안전지대,제주특별자치도 제주시 한림읍 동명리 175-4,33.3856438,126.2834080
한림읍,명월리 1191 명월로 옆,제주특별자치도 제주시 한림읍 명월리 1191,33.3757839,126.2774344
한림읍,리사무소 옆,제주특별자치도 제주시 한림읍 명월리 1777-5,33.3865503,126.2674868
한림읍,억소리갈비 옆(노인회관 뒤),제주특별자치도 제주시 한림읍 사가동길 18,33.4157957,126.2632420
한림읍,금악 GS25 맞은편,제주특별자치도 제주시 한림읍 중산간서로 4292,33.3581183,126.2947412
한림읍,신서동 동동네 삼거리 부근,제주특별자치도 제주시 한림읍 귀덕리 1893-1,33.4279361,126.2927282
한림읍,상명리 1028-1앞 ,제주특별자치도 제주시 한림읍 상명리 2361,33.3601866,126.2698327
한림읍,리사무소 옆길 한림3리 입구,제주특별자치도 제주시 한림읍 대림로 55,33.4215389,126.2825480
한림읍,새물통 삼거리,제주특별자치도 제주시 한림읍 금악리 2048-2,33.3579012,126.2980196
한림읍,영농법인 삼다 옆 골목,제주특별자치도 제주시 한림읍 옹포리 323-3,33.4060258,126.2566908
한림읍,통물 옆,제주특별자치도 제주시 한림읍 협재리 2514-19,33.3927238,126.2406362
한림읍,유성빌라 앞,제주특별자치도 제주시 한림읍 한림리 1494,33.4095213,126.2607314
한림읍,해수욕장 동측 주차장,제주특별자치도 제주시 한림읍 협재리 2447-45,33.3947244,126.2408604
한림읍,해수욕장 서측 주차장,제주특별자치도 제주시 한림읍 협재리 2447-11,33.3930731,126.2397233
한림읍,제주 만석이펜션 맞은편 도로,제주특별자치도 제주시 한림읍 금능리 1268-3,33.3863489,126.2299592
한림읍,포구 앞 공터,제주특별자치도 제주시 한림읍 금능7길 14-8,33.3896212,126.2288887
한림읍,리사무소 내부,제주특별자치도 제주시 한림읍 월령1길 11,33.3759800,126.2156728
한림읍,광이동 입구 공터,제주특별자치도 제주시 한림읍 일주서로 5538,33.4213544,126.2782512
한림읍,한림고물상 앞(주민자치센터 뒤),제주특별자치도 제주시 한림읍 한림리 1388-3,33.4126299,126.2624197
한림읍,귀덕3리 농산물집하장 내,제주특별자치도 제주시 한림읍 월각로 6,33.4168106,126.2972371
한림읍,이시돌사료공장 옆 (한수중계펌프장 골목),제주특별자치도 제주시 한림읍 대림리 2019-13,33.4190393,126.2632586
한림읍,귀덕2리 해안도로변,제주특별자치도 제주시 한림읍 귀덕리 3127-1,33.4420795,126.2836713
한림읍,리사무소 옆 ,제주특별자치도 제주시 한림읍 수원리 26-5,33.4273175,126.2705338
한림읍,별빛두 방울펜션 북측,제주특별자치도 제주시 한림읍 협재리 1937-3,33.3960328,126.2476789
한림읍,비치빌라 앞 도로변,제주특별자치도 제주시 한림읍 옹포리 618-3,33.4011837,126.2524683
한림읍,대림~귀덕3리 입구,제주특별자치도 제주시 한림읍 귀덕리 2255-6,33.4180332,126.2913412
한림읍,동축항 입구,제주특별자치도 제주시 한림읍 귀덕리 976-8,33.4455626,126.2945703
한림읍,허화규댁 앞 무료주차장,제주특별자치도 제주시 한림읍 한수리 920-12,33.4227068,126.2633411
한림읍,농협 농기계수리센터 위,제주특별자치도 제주시 한림읍 고도물길 10,33.4108933,126.2586669
한림읍,한림고 입구 사거리(국도변)      ,제주특별자치도 제주시 한림읍 명월리 2089-5,33.3963816,126.2603072
한림읍,오일시장 내,제주특별자치도 제주시 한림읍 한수풀로4길 10,33.4198314,126.2745058
한림읍,켄싱턴리조트  해안도로변,제주특별자치도 제주시 한림읍 한림해안로 538,33.4370278,126.2751087
한림읍,어촌계회관 뒤편,제주특별자치도 제주시 한림읍 한림해안로 485,33.4358803,126.2722100
한림읍,한수관광어촌지원센터 뒤,제주특별자치도 제주시 한림읍 한수3길 13,33.4200952,126.2629281
한림읍,능향원 앞,제주특별자치도 제주시 한림읍 금능리 1634-1,33.3859968,126.2235841
한림읍,옹포횟집 앞,제주특별자치도 제주시 한림읍 옹포리 500-16,33.4043367,126.2516440
한림읍,월령리 포구 공터,제주특별자치도 제주시 한림읍 월령리 317-1,33.3785151,126.2162844
한림읍,삼일식당 사거리,제주특별자치도 제주시 한림읍 동명리 1601-2,33.4084533,126.2638446
한림읍,성로삼거리,제주특별자치도 제주시 한림읍 귀덕리 1644-12,33.4337472,126.2961955
한림읍,한수풀해녀학교 지나서 양어장 뒤,제주특별자치도 제주시 한림읍 귀덕리 4129-4,33.4416573,126.2776655
한림읍,양O원씨댁 앞,제주특별자치도 제주시 한림읍 한림리 65-5,33.4132586,126.2816184
한림읍,관정 옆 공터,제주특별자치도 제주시 한림읍 동명리 1324-2,33.3973083,126.2654992
한림읍,올레길 주차장,제주특별자치도 제주시 한림읍 월령안길 27,33.3761875,126.2143263
한림읍,한수풀도서관 입구 맞은편,제주특별자치도 제주시 한림읍 대림리 1882-5,33.4194927,126.2676632
한림읍,취락구조 삼거리 퐁낭 앞,제주특별자치도 제주시 한림읍 수원리 713-8,33.4261565,126.2670150
한림읍,대명종합타일,제주특별자치도 제주시 한림읍 대림리 1776-1,33.4173638,126.2682733
한림읍,서부소방서 앞 대도로변,제주특별자치도 제주시 한림읍 동명리 664-15,33.4022560,126.2707317
한림읍,한수리 정류소 옆,제주특별자치도 제주시 한림읍 한수리 845-2,33.4217842,126.2643250
한림읍,입전동 정자 주변,제주특별자치도 제주시 한림읍 대림리 676-5,33.4243745,126.2851150
한림읍,한림순복음교회 앞,제주특별자치도 제주시 한림읍 대림리 1901-10,33.4200066,126.2653215
한림읍,중앙약국 옆,제주특별자치도 제주시 한림읍 한림리 1421-2,33.4143053,126.2642820
한림읍,김밥천국 옆 주차장,제주특별자치도 제주시 한림읍 한림리 1213-2,33.4143667,126.2645666
한림읍,감협 뒤 공터,제주특별자치도 제주시 한림읍 명랑로 17,33.4147211,126.2668654
한림읍,리사무소 앞,제주특별자치도 제주시 한림읍 한림리 175-10,33.4087362,126.2774958
한림읍,이시돌 주택 주차장,제주특별자치도 제주시 한림읍 금악리 109-7,33.3432315,126.3202344
한림읍,리사무소 맞은편 도로,제주특별자치도 제주시 한림읍 상명리 1111-2,33.3593674,126.2707762
한림읍,동카름,제주특별자치도 제주시 한림읍 상명리 1758-1,33.3634236,126.2686186
한림읍,일주도로 하얀집간판 앞,제주특별자치도 제주시 한림읍 한림로 381,33.3966846,126.2433363
한림읍,금능농공단지 삼다 삼거리,제주특별자치도 제주시 한림읍 금능농공길 50,33.3594904,126.2427677
한림읍,금능농공단지 대산파이프 삼거리,제주특별자치도 제주시 한림읍 금능농공길 64,33.3583570,126.2419000
한림읍,미화연립 앞,제주특별자치도 제주시 한림읍 한림리 1582-7,33.4117216,126.2642906
한림읍,성산교회 사거리,제주특별자치도 제주시 한림읍 금악리 2033-8,33.3595482,126.2983550
한림읍,한림체육관 내부,제주특별자치도 제주시 한림읍 한림중앙로 71-9,33.4101152,126.2681696
애월읍,고성천 앞, 제주특별자치도 제주시 애월읍 하귀2리 1436-20 ,33.4822370,126.4055572
애월읍,애월읍 영송학교 북측, 제주특별자치도 제주시 애월읍 광령중길 85,33.4525396,126.4347083
애월읍,리사무소 앞, 제주특별자치도 제주시 애월읍 고성리 133-2,33.4347641,126.4255795
애월읍,금성리(상동) 756-1 창고, 제주특별자치도 제주시 애월읍 금성2길 64,33.4391264,126.3015389
애월읍,녹근로 39 맞은편, 제주특별자치도 제주시 애월읍 봉성리 3080-9,33.4149488,126.3144897
애월읍,어음1리사무소 앞, 제주특별자치도 제주시 애월읍 어음리 3642-1,33.4166351,126.3308453
애월읍,마을회관(어음 10길 33)옆, 제주특별자치도 제주시 애월읍 어음10길 33,33.4011980,126.3367389
애월읍,중앙슈퍼 옆, 제주특별자치도 제주시 애월읍 납읍리 1753-4,33.4397895,126.3295805
애월읍,동귀어촌계횟집 앞, 제주특별자치도 제주시 애월읍 하귀12길 22,33.4863708,126.4086893
애월읍,하귀2리 1752-5 (그린마트 앞), 제주특별자치도 제주시 애월읍 하귀미수동길 30,33.4810482,126.4015386
애월읍,UTS 골프빌리지 앞, 제주특별자치도 제주시 애월읍 광령평화2길 170-2,33.4306706,126.4340474
애월읍,용흥입구 북측 삼거리, 제주특별자치도 제주시 애월읍 신용로 193,33.4546301,126.3701335
애월읍,경림산업 앞, 제주특별자치도 제주시 애월읍 신엄8길 10,33.4704176,126.3674790
애월읍,해오름 가는 길, 제주특별자치도 제주시 애월읍 구엄리 1103-1,33.4764964,126.3768975
애월읍,용흥2길2 맞은편 무료주차장, 제주특별자치도 제주시 애월읍 신엄리1728-1,33.4619699,126.3684092
애월읍,순두물 옆, 제주특별자치도 제주시 애월읍 광령리 1276-2,33.4607272,126.4399228
애월읍,광령한마음새마을금고 주차장, 제주특별자치도 제주시 애월읍 광성로 277,33.4607596,126.4367500
애월읍,광령2리사무소, 제주특별자치도 제주시 애월읍 하광로 473,33.4491116,126.4294832
애월읍,광령리 3798-16, 제주특별자치도 제주시 애월읍 광령자종길 1,33.4640536,126.4233426
애월읍,고성6길 4 앞, 제주특별자치도 제주시 애월읍 고성6길 4,33.4579918,126.4151356
애월읍,리사무소 앞, 제주특별자치도 제주시 애월읍 고성리 133-2,33.4347641,126.4255795
애월읍,보건소(유수암평화길14-2)맞은편, 제주특별자치도 제주시 애월읍 유수암리 1898-3,33.4411599,126.4024027
애월읍,성덕슈퍼옆(장전4길입구), 제주특별자치도 제주시 애월읍 장전리 453-2,33.4507622,126.3884695
애월읍,소길버스승차대 앞, 제주특별자치도 제주시 애월읍 장전리 1638-3,33.4413021,126.3791088
애월읍,수산리 1914-1번지 앞 도로, 제주특별자치도 제주시 애월읍 수산리 1914-1,33.4699194,126.3845210
애월읍,수산리 경로당 부지 안쪽, 제주특별자치도 제주시 애월읍 하소로 163,33.4670451,126.3933283
애월읍,상귀리 1572-2, 제주특별자치도 제주시 애월읍 예원로 103,33.4605164,126.3981389
애월읍,곰슬빌라 앞, 제주특별자치도 제주시 애월읍 엄수로 165,33.4687560,126.3897610
애월읍,상귀리 113앞, 제주특별자치도 제주시 애월읍 상귀리 113,33.4731056,126.4091576
애월읍,돌빌레식당앞 동양콘도 근처, 제주특별자치도 제주시 애월읍 구엄4길 48,33.4838329,126.3773987
애월읍,윤정빌리지 서측, 제주특별자치도 제주시 애월읍 하귀1리 316-2,33.4890610,126.4157282
애월읍,남읍리 다가구 주택 앞, 제주특별자치도 제주시 애월읍 애납로 161,33.4399406,126.3282983
애월읍,동귀어촌계횟집 동측, 제주특별자치도 제주시 애월읍 하귀12길 36,33.4873895,126.4090054
