읍면동,명칭,주소
한림읍,한림리,제주특별자치도 제주시 한림읍 한림남길 12
한림읍,동명리,제주특별자치도 제주시 한림읍 동명2길 27
한림읍,귀덕리,제주특별자치도 제주시 한림읍 귀덕로 97-2
한림읍,옹포리,제주특별자치도 제주시 한림읍 월계로 9
애월읍,고내리,제주특별자치도 제주시 애월읍 고내로 14
애월읍,하귀1리,제주특별자치도 제주시 애월읍 하귀동남3길 16
애월읍,애월리,제주특별자치도 제주시 애월읍 애월해안로 7
애월읍,곽지리,제주특별자치도 제주시 애월읍 곽지3길 13
애월읍,중엄리,제주특별자치도 제주시 애월읍 중엄3길 17
애월읍,하가리,제주특별자치도 제주시 애월읍 고하상로 144
애월읍,상가리,제주특별자치도 제주시 애월읍 상가로 71
애월읍,고성리,제주특별자치도 제주시 애월읍 평화로 2584
애월읍,구엄리,제주특별자치도 제주시 애월읍 구엄리 852
구좌읍,종달리,제주특별자치도 제주시 구좌읍 종달논길 31-10
구좌읍,하도리,제주특별자치도 제주시 구좌읍 문주란로 68
구좌읍,동복리,제주특별자치도 제주시 구좌읍 동복로 75-10
구좌읍,김녕리,제주특별자치도 제주시 구좌읍 김녕로8길 32-8
구좌읍,송당리,제주특별자치도 제주시 구좌읍 중산간동로 2202-14
구좌읍,덕천리,제주특별자치도 제주시 구좌읍 월덕로 514
조천읍,조천리,제주특별자치도 제주시 조천읍 조천18길 5-5
조천읍,와산리,제주특별자치도 제주시 조천읍 중산간동로 924
조천읍,와흘리,제주특별자치도 제주시 조천읍 와흘4길 33-1
조천읍,함덕리,제주특별자치도 제주시 조천읍 조함해안로 532-3
조천읍,선흘리,제주특별자치도 제주시 조천읍 중산간동로 1241
조천읍,신흥리,제주특별자치도 제주시 조천읍 조함해안로 302
추자면,대서리,제주특별자치도 제주시 추자면 대서리 147-16번지
우도면,우도면,제주특별자치도 제주시 우도면 조일길 123-5
일도1동,일도1동,제주특별자치도 제주시 성지로 32(일도일동)
일도2동,일도2동,제주특별자치도 제주시 연수로12
이도2동,이도2동,제주특별자치도 제주시 도남로5길 25 (도남동)
이도2동,이도2동,제주특별자치도 제주시 광양9길 65 (이도이동)
이도2동,이도2동,제주특별자치도 제주시 독짓골8길 34 (도남동)
이도2동,이도2동,제주특별자치도 제주시 신설동길 40-10 (이도이동)
삼도1동,삼도1동,제주특별자치도 제주시 서광로25길 16 (삼도일동)
삼도1동,삼도1동,제주특별자치도 제주시 전농로1길 11
삼도2동,삼도2동,제주특별자치도 제주시 관덕로2길 6
용담1동,용담1동,제주특별자치도 제주시 서광로5길 26(용담일동)
용담1동,용담2동,제주특별자치도 제주시 용해로 16 (용담삼동)
화북동,화북동,제주특별자치도 제주시 선반로10길 14 (화북일동)
화북동,화북동,제주특별자치도 제주시 동화로 55
삼양동,삼양동,제주특별자치도 제주시 지석10길 18 (삼양이동)
삼양동,삼양동,제주특별자치도 제주시 화삼로 47 (도련일동)
삼양동,삼양동,제주특별자치도 제주시 선사로8길 25(삼양일동)
아라동,아라동,제주특별자치도 제주시 산천단동길 4 (아라일동)
아라동,아라동,제주특별자치도 제주시 인다14길 20 (아라일동)
오라동,오라동,제주특별자치도 제주시 아연로 165 (오라이동)
오라동,오라동,제주특별자치도 제주시 오라로 115(오라일동)
연동,연동,제주특별자치도 제주시 은남1길 45 (연동)
연동,연동,제주특별자치도 제주시 귀아랑길 33 (연동)
연동,연동,제주특별자치도 제주시 연동14길 32 (연동)
연동,연동,제주특별자치도 제주시 신대로16길 22(연동)
연동,연동,제주특별자치도 제주시 성신로 18-12(연동)
연동,연동,제주특별자치도 제주시 도령로13길 16-8(연동)
연동,연동,제주특별자치도 제주시 연화로2길 17-2
노형동,노형동,제주특별자치도 제주시 진군3길 10 (노형동)
노형동,노형동,제주특별자치도 제주시 우평로 10 (노형동)
노형동,노형동,제주특별자치도 제주시 원노형9길 3 (노형동)
노형동,노형동,제주특별자치도 제주시 월랑로2길 1(노형동)
노형동,노형동,제주특별자치도 제주시 신비마을1길 6 (해안동)
노형동,노형동,제주특별자치도 제주시 원노형남2길 11(노형동)
노형동,노형동,제주특별자치도 제주시 수덕5길 34
노형동,노형동,제주특별자치도 제주시 해안마을길 75
외도동,외도동,제주특별자치도 제주시 외도일동 559-1번지
이호동,이호동,제주특별자치도 제주시 오도4길 33(이호이동)
도두동,도두동,제주특별자치도 제주시 오일장동길 51 (도두일동)
도두동,도두동,제주특별자치도 제주시 제주시 도공로 3(도두일동)
대정읍,마라도,제주특별자치도 서귀포시 대정읍 마라로 127
대정읍,동일1리,제주특별자치도 서귀포시 대정읍 동일하모로 90
대정읍,하모3리,제주특별자치도 서귀포시 대정읍 신영로36번길 69-11
대정읍,구억리,제주특별자치도 서귀포시 대정읍 영어도시로 35-3
대정읍,상모2리,제주특별자치도 서귀포시 대정읍 상모대서로 20번길 61
대정읍,신평리,제주특별자치도 서귀포시 대정읍 신평로 10
대정읍,상모3리,제주특별자치도 서귀포시 대정읍 영서중로 64
대정읍,신영물,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 18
대정읍,신도1리,제주특별자치도 서귀포시 대정읍 도원남로 171-7
대정읍,일과2리,제주특별자치도 서귀포시 대정읍 일과리 1516-3
대정읍,보성리,제주특별자치도 서귀포시 대정읍 보성상로 3-23
대정읍,영락리,제주특별자치도 서귀포시 대정읍 영락중동로 11-1
대정읍,무릉리,제주특별자치도 서귀포시 대정읍 서삼중로 128-1
남원읍,남원1리,제주특별자치도 서귀포시 남원읍 남태해안로 116
남원읍,위미3리,제주특별자치도 서귀포시 남원읍 태위로 377
남원읍,신흥1리,제주특별자치도 서귀포시 남원읍 신흥로 32-5
남원읍,태흥2리,제주특별자치도 서귀포시 남원읍 남태해안로 489
남원읍,하례2리,제주특별자치도 서귀포시 남원읍 하례돈야로 20
